id	等級	兵器	重量	種類	ATK	氣功	能力	招式
28	1	巨劍	4	巨劍	5	畫龍點睛 / [ 巨劍 ] 4 / 固10。受擊方所有裝備機率4廢棄。		
29	2	六合神劍	4	巨劍	9		在變招時，可以決定視為2個劍用來計算到回合結束。	
30	1	長槍	3	槍	4	浮空 / 3 / 橫置對手裝備卡一張。如果沒有裝備卡橫置，則使對手AT-1。這張卡在生效後廢棄。		長虹貫日 / 變招 / [ 槍 ][ 鞋 ] / +2。浮空4。
31	1	巨劍	4	巨劍	5	暗黑 / 2 / 自己武器機率5落空並獲得會心10。只能用自己。		
32	1	長槍	3	槍	4			魁星點斗 / 變招 / 2 / [ 槍 ][ 鞋 ][ 鞋 ] / +3。這個變招步，敵方的所有變招無效。
33	1	將領槍	3	槍	4			天罡扇 / 變招  / [ 槍 ] 1 / +0。這個特技對對手造成傷害時，自己抽一張卡。
34	1	巨劍	4	巨劍	5			重武器格檔 / 反應 / [ 巨劍 ] / 對方武器落空並受到固傷X。X為所附加武器的ATK/2。
35	1	將領槍	3	槍	4	飛沙走石  / 1 / 指定一個對手武器，那個武器這個回合的出擊階段一定要出擊。這張卡在生效後廢棄。		
36	1	連擊秘石	1	配件	1		機率4多一下免費普攻。最多連2次。連2次和受傷超過6時廢棄。	
37	1	巨劍	4	巨劍	5	流星雨 / [ 巨劍 ] 2 / +機率10		
38	1	將領槍	3	槍	4			臨溪觀魚 / 反應 / 1  / 傷害結算後，如果自己受傷的點數少於5，對來源玩家造成5的固定傷害。如果點數大於等於5，回復3。
39	1	雷秘石	1	配件	1	麻痺 / 3 / 所有規定效果跳過。回合開始時機率8廢棄。	任一張手牌可以當成：氣功「雷擊 / 變招 / [ 任意 ] / 固傷3。麻庳3」。	
40	1	將領槍	3	槍	4	禁字訣  / 3 / 無法使用特技。這個效果機率6廢棄。		
41	1	將領槍	3	槍	4			截蒼龍 / 變招 / [ 槍 ][ 鞋 ][ 鞋 ] / +2。
42	2	長鐵槍	3	槍	7		出擊時，可以丟棄一張手牌，這張卡攻+2直到這次攻擊完畢。這個效果在場時如果有打爆對手的武器。則抽一張卡。	
43	1	巨劍	4	巨劍	5	破光擊 / [ 巨劍 ] / +2。		
44	1	劍	2	劍	3			弓步刺劍 / 變招 / [ 劍 ][ 鞋 ] / +2
45	1	武當劍	2	劍	3	抱元守缺 / [ 劍 or 刀 ] / 放置在場上，自回合結束時可以廢棄這張卡。這個時候，自己AT+2		 
46	1	武當劍	2	劍	3	吞日月 / [ 刀 or 劍 ][ 腳 ] / 自己回合開始時，如果自己身上有負面狀態的時候，可以廢棄這張卡。之後，機率8解除任一個自身負面狀態。		 
47	1	武當劍	2	劍	3			三環套月 / 變招 / [ 劍 ][ 鞋 ] / +2。這次出擊的傷害結算時，可以橫置自己裝備區一張鞋。那個時間，自己AT+1。 
48	1	武當劍	2	劍	3			劍飛驚天 / 變招 / [ 劍 ][ 鞋 ][ 鞋 ] 1  / +2。這個招式造成傷害時，指定對手一狀態廢棄。 
49	1	武當劍	2	劍	3	九轉歸一 / [ 劍 ][ 鞋 ][ 鞋 ] / 放在敵人身上。那個玩家自回合開始時，機率6不能出擊。機率3廢棄。		 
50	1	布衣	1	服	3			側閃 / 變招 / 1 / 機率8雙方攻擊落空。
51	1	布衣	1	服	3	硬身 / [ 服 ] / 移除自己一個負面狀態。		
52								
53								
54								
55								
56								
57								
58								
59								
60								
61								
62								
63								
